Movies,IMDB Rating,Genre,Runtime (in min),Year of Release,Gross Income (in $)
132.Ghostbusters,7.8,"Action, Comedy, Fantasy",105,1984,"$1,155,046,4"
133.Get Out(I) ,7.8,"Horror, Mystery, Thriller",104,2017,"$657,869,6"
134.Skyfall,7.8,"Action, Adventure, Thriller",143,2012,"$332,500,0"
135.The Girl with the Dragon Tattoo,7.8,"Crime, Drama, Mystery",158,2011,"$714,421,5"
136.The Social Network,7.8,"Biography, Drama",120,2010,"$186,797,9"
137.American Gangster,7.8,"Biography, Crime, Drama",157,2007,"$201,634,9"
138.The Hobbit: An Unexpected Journey,7.8,"Adventure, Fantasy",169,2012,"$218,791,8"
139.Star Wars: Episode VII - The Force Awakens,7.8,"Action, Adventure, Sci-Fi",138,2015,"$227,994,7"
140.Cast Away,7.8,"Adventure, Drama, Romance",143,2000,"$621,537,5"
141.The Curious Case of Benjamin Button,7.8,"Drama, Fantasy, Romance",166,2008,"$451,183,3"
142.Taken(I) ,7.8,"Action, Crime, Thriller",90,2008,"$184,827,5"
143.Hidden Figures,7.8,"Biography, Drama, History",127,2016,"$896,815,1"
144.The Fugitive,7.8,"Action, Crime, Drama",130,1993,"$791,657,3"
145.The Bourne Identity,7.8,"Action, Mystery, Thriller",119,2002,"$414,351,5"
146.The Hobbit: The Desolation of Smaug,7.8,"Adventure, Drama, Fantasy",161,2013,"$469,328,0"
147.The Last Samurai,7.8,"Action, Drama",154,2003,"$977,070,3"
148.Captain America: Civil War,7.8,"Action, Sci-Fi",147,2016,"$450,717,1"
149.Big Hero 6,7.8,"Animation, Action, Adventure",102,2014,"$476,684,6"
150.Back to the Future Part II,7.8,"Adventure, Comedy, Sci-Fi",108,1989,"$236,412,4"
151.Captain America: The Winter Soldier,7.8,"Action, Adventure, Sci-Fi",136,2014,"$592,462,8"
152.Walk the Line,7.8,"Biography, Drama, Music",136,2005,"$243,240,1"
153.Straight Outta Compton,7.8,"Biography, Drama, History",147,2015,"$232,325,5"
154.Captain Phillips,7.8,"Action, Biography, Crime",134,2013,"$355,237,9"
155.Paddington 2,7.8,"Adventure, Comedy, Family",103,2017,"$468,266,1"
156.How to Train Your Dragon 2,7.8,"Animation, Action, Adventure",102,2014,"$352,616,6"
157.Wo bu shi yao shen,7.8,"Comedy, Drama",117,2018,"$748,049,9"
158.Gukjesijang,7.8,"Drama, War",126,2014,"$329,803,9"
159.Harry Potter and the Goblet of Fire,7.7,"Adventure, Family, Fantasy",157,2005,"$471,222,8"
160.Mission: Impossible - Fallout,7.7,"Action, Adventure, Thriller",147,2018,"$467,365,2"
161.Kingsman: The Secret Service,7.7,"Action, Adventure, Comedy",129,2014,"$1,073,841,3"
162.The Hangover,7.7,Comedy,100,2009,"$206,678,4"
163.Harry Potter and the Deathly Hallows: Part 1,7.7,"Adventure, Family, Fantasy",146,2010,"$314,178,0"
164.Ocean's Eleven,7.7,"Crime, Thriller",116,2001,"$181,001,4"
165.Home Alone,7.7,"Comedy, Family",103,1990,"$307,166,8"
166.Silver Linings Playbook,7.7,"Comedy, Drama, Romance",122,2012,"$290,835,2"
167.Tangled,7.7,"Animation, Adventure, Comedy",100,2010,"$2,320,250,2"
168.A Few Good Men,7.7,"Drama, Thriller",138,1992,"$1,023,842,9"
169.Argo,7.7,"Biography, Drama, Thriller",120,2012,"$377,617,5"
170.Apollo 13(I) ,7.7,"Adventure, Drama, History",140,1995,"$263,920,1"
171.The Lego Movie,7.7,"Animation, Action, Adventure",100,2014,"$186,003,5"
172.X: First Class,7.7,"Action, Sci-Fi",131,2011,"$185,382,8"
173.Gravity,7.7,"Drama, Sci-Fi, Thriller",91,2013,"$682,685,9"
174.Who Framed Roger Rabbit,7.7,"Animation, Adventure, Comedy",104,1988,"$456,082,3"
175.Wreck-It Ralph,7.7,"Animation, Adventure, Comedy",101,2012,"$863,756,0"
176.Star Trek Into Darkness,7.7,"Action, Adventure, Sci-Fi",132,2013,"$226,945,0"
177.Toy Story 4,7.7,"Animation, Adventure, Comedy",100,2019,"$211,822,6"
178.Philadelphia,7.7,Drama,125,1993,"$868,390,5"
179.As Good as It Gets,7.7,"Comedy, Drama, Romance",139,1997,"$934,519,3"
180.Road to Perdition,7.7,"Crime, Drama, Thriller",117,2002,"$247,933,2"
181.The Fault in Our Stars,7.7,"Drama, Romance",126,2014,"$785,896,6"
182.The Bourne Supremacy,7.7,"Action, Mystery, Thriller",108,2004,"$436,233,1"
183.Avatar: The Way of Water,7.6,"Action, Adventure, Fantasy",192,2022,"$209,947,0"
184.Harry Potter and the Sorcerer's Stone,7.6,"Adventure, Family, Fantasy",152,2001,"$184,928,5"
185.Once Upon a Time in... Hollywood,7.6,"Comedy, Drama",161,2019,Top Lifetime Grosses – Worldwi
186.The Fifth Element,7.6,"Action, Adventure, Sci-Fi",126,1997,"July 2, 20"
187.Inside Man,7.6,"Crime, Drama, Mystery",129,2006,"$309,231,6"
188.Watchmen,7.6,"Action, Drama, Mystery",162,2009,"$211,343,4"
189.Moana(I) ,7.6,"Animation, Adventure, Comedy",107,2016,"$632,083,1"
190.300,7.6,"Action, Drama",117,2006,"$710,644,5"
191.Guardians of the Galaxy Vol. 2,7.6,"Action, Adventure, Comedy",136,2017,"$304,320,2"
192.Baby Driver,7.6,"Action, Crime, Drama",113,2017,"$543,157,9"
193.Fury,7.6,"Action, Drama, War",134,2014,"$524,028,6"
194.Star Wars: Episode III - Revenge of the Sith,7.6,"Action, Adventure, Fantasy",140,2005,"$252,276,9"
195.Harry Potter and the Half-Blood Prince,7.6,"Action, Adventure, Family",153,2009,"$358,372,9"
196.Love Actually,7.6,"Comedy, Drama, Romance",135,2003,"$481,800,8"
197.Deadpool 2,7.6,"Action, Adventure, Comedy",119,2018,"$184,925,4"
198.A Star Is Born,7.6,"Drama, Music, Romance",136,2018,"$306,889,1"
199.The Others,7.6,"Horror, Mystery, Thriller",101,2001,"$1,243,225,6"
200.Moulin Rouge!,7.6,"Drama, Musical, Romance",127,2001,"$207,515,7"
201.The Blind Side,7.6,"Biography, Drama, Sport",129,2009,"$205,843,6"
202.The Little Mermaid,7.6,"Animation, Adventure, Family",83,1989,"$366,101,6"
203.Kung Fu Panda,7.6,"Animation, Action, Adventure",92,2008,"$204,826,6"
204.Dawn of the Planet of the Apes,7.6,"Action, Adventure, Drama",130,2014,"$182,016,6"
205.Mulan,7.6,"Animation, Adventure, Comedy",87,1998,"$225,918,7"
206.Despicable Me,7.6,"Animation, Adventure, Comedy",95,2010,"$320,406,2"
207.Sherlock Holmes,7.6,"Action, Adventure, Mystery",128,2009,"$435,732,5"
208.True Grit,7.6,"Drama, Western",110,2010,"$411,569,2"
209.Minority Report,7.6,"Action, Crime, Mystery",145,2002,"$198,087,2"
210.Rise of the Planet of the Apes,7.6,"Action, Drama, Sci-Fi",105,2011,"$333,107,2"
211.Snow White and the Seven Dwarfs,7.6,"Animation, Adventure, Family",83,1937,"$340,952,9"
212.Close Encounters of the Third Kind,7.6,"Drama, Sci-Fi",138,1977,"$220,239,9"
213.Incredibles 2,7.6,"Animation, Action, Adventure",118,2018,"$942,278,0"
214.Traffic,7.6,"Crime, Drama, Thriller",147,2000,"$223,664,6"
215.The Jungle Book,7.6,"Animation, Adventure, Comedy",78,1967,"$442,299,3"
216.Die Hard with a Vengeance,7.6,"Action, Adventure, Thriller",128,1995,"$261,317,9"
217.Gake no ue no Ponyo,7.6,"Animation, Adventure, Comedy",101,2008,"$865,011,7"
218.The Bridges of Madison County,7.6,"Drama, Romance",135,1995,"$193,772,5"
219.Shaonian de ni,7.6,"Crime, Drama, Romance",135,2019,"$232,372,6"
220.The Conjuring,7.5,"Horror, Mystery, Thriller",112,2013,"$788,976,4"
221.The Greatest Showman,7.5,"Biography, Drama, Musical",105,2017,"$200,512,6"
222.Batman,7.5,"Action, Adventure",126,1989,"$383,257,1"
223.Lo imposible,7.5,"Adventure, Drama, History",114,2012,"$211,622,5"
224.Indiana Jones and the Temple of Doom,7.5,"Action, Adventure",118,1984,"$213,719,9"
225.A Quiet Place,7.5,"Drama, Horror, Sci-Fi",90,2018,"$677,796,0"
226.Collateral,7.5,"Action, Crime, Drama",120,2004,"$185,770,3"
227.Harry Potter and the Order of the Phoenix,7.5,"Action, Adventure, Family",138,2007,"$192,951,4"
228.Interview with the Vampire: The Vampire Chronicles,7.5,"Drama, Fantasy, Horror",123,1994,"$194,137,0"
229.Les Misérables,7.5,"Drama, Musical, Romance",158,2012,"$222,446,8"
230.Total Recall,7.5,"Action, Adventure, Sci-Fi",113,1990,"$208,314,1"
231.The Hunger Games: Catching Fire,7.5,"Action, Adventure, Sci-Fi",146,2013,"$215,862,6"
232.Gangs of New York,7.5,"Crime, Drama",167,2002,"$682,716,6"
233.Juno,7.5,"Comedy, Drama",96,2007,"$825,025,0"
234.Spider-Man 2,7.5,"Action, Adventure, Sci-Fi",127,2004,"$408,400,6"
235.The Hunt for Red October,7.5,"Action, Adventure, Thriller",135,1990,"$925,668,3"
236.Ice Age,7.5,"Animation, Adventure, Comedy",81,2002,"$880,166,9"
237.Master and Commander: The Far Side of the World,7.5,"Action, Adventure, Drama",138,2003,"$607,274,1"
238.The Aviator,7.5,"Biography, Drama",170,2004,"$822,854,2"
239.Doctor Strange,7.5,"Action, Adventure, Fantasy",115,2016,"$694,713,3"
240.Hugo,7.5,"Adventure, Drama, Family",126,2011,"$328,349,3"
241.Tenki no ko,7.5,"Animation, Drama, Fantasy",112,2019,"$1,284,540,5"
242.The Curse of the Were-Rabbit,7.5,"Animation, Adventure, Comedy",85,2005,"$432,243,2"
243.Fahrenheit 9/11,7.5,"Documentary, Drama, War",122,2004,"$219,100,0"
244.Me Before You,7.4,"Drama, Romance",106,2016,"$1,066,179,7"
245.Bram Stoker's Dracula,7.4,"Drama, Fantasy, Horror",128,1992,"$300,478,4"
246.Mission: Impossible - Rogue Nation,7.4,"Action, Adventure, Thriller",131,2015,"$1,131,927,9"
247.Spider-Man,7.4,"Action, Adventure, Sci-Fi",121,2002,"$335,062,6"
248.Sing 2,7.4,"Animation, Adventure, Comedy",110,2021,"$256,271,2"
249.Harry Potter and the Chamber of Secrets,7.4,"Adventure, Family, Fantasy",161,2002,"$262,552,8"
250.Spider-Man: Homecoming,7.4,"Action, Adventure, Sci-Fi",133,2017,"$490,719,7"
251.Ready Player One,7.4,"Action, Adventure, Sci-Fi",140,2018,"$962,201,3"
252.Wonder Woman,7.4,"Action, Adventure, Fantasy",141,2017,"$967,724,7"
253.Mission: Impossible - Ghost Protocol,7.4,"Action, Adventure, Thriller",132,2011,"$194,694,7"
254.John Wick: Chapter 3 - Parabellum,7.4,"Action, Crime, Thriller",130,2019,"$240,797,6"
255.Frozen(I) ,7.4,"Animation, Adventure, Comedy",102,2013,"$231,976,4"
256.Shang-Chi and the Legend of the Ten Rings,7.4,"Action, Adventure, Fantasy",132,2021,"$245,077,5"
257.The Terminal,7.4,"Comedy, Drama, Romance",128,2004,"$407,711,5"
258.Pirates of the Caribbean: Dead Man's Chest,7.4,"Action, Adventure, Fantasy",151,2006,"$543,848,4"
259.Superman,7.4,"Action, Adventure, Sci-Fi",143,1978,"$524,580,5"
260.Spider-Man: Far from Home,7.4,"Action, Adventure, Comedy",129,2019,"$726,264,0"
261.The Rock,7.4,"Action, Adventure, Thriller",136,1996,"$209,221,3"
262.Erin Brockovich,7.4,"Biography, Drama",131,2000,"$208,177,0"
263.Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,7.4,Comedy,84,2006,"$365,304,1"
264.War for the Planet of the Apes,7.4,"Action, Adventure, Drama",140,2017,"$239,268,6"
265.The Hobbit: The Battle of the Five Armies,7.4,"Adventure, Fantasy",144,2014,"$774,153,0"
266.The Jungle Book,7.4,"Animation, Adventure, Drama",106,2016,"$497,409,8"
267.Downton Abbey,7.4,"Drama, Romance",122,2019,"$701,842,5"
268.Sully,7.4,"Biography, Drama",96,2016,"$589,390,5"
269.The English Patient,7.4,"Drama, Romance, War",162,1996,"$195,320,4"
270.Back to the Future Part III,7.4,"Adventure, Comedy, Sci-Fi",118,1990,"$278,454,4"
271.X2,7.4,"Action, Sci-Fi, Thriller",134,2003,"$288,670,2"
272.Sherlock Holmes: A Game of Shadows,7.4,"Action, Adventure, Mystery",129,2011,"$404,980,5"
273.How to Train Your Dragon: The Hidden World,7.4,"Animation, Action, Adventure",104,2019,"$321,834,3"
274.Ne Zha zhi mo tong jiang shi,7.4,"Animation, Action, Adventure",110,2019,"$378,882,4"
275.Hou lai de wo men,7.4,"Drama, Romance",120,2018,"$206,071,5"
276.Dungeons & Dragons: Honor Among Thieves,7.3,"Action, Adventure, Comedy",134,2023,"$233,503,2"
277.Tenet,7.3,"Action, Sci-Fi, Thriller",150,2020,"$1,349,926,0"
278.Bullet Train(I) ,7.3,"Action, Comedy, Thriller",127,2022,"$182,291,9"
279.No Time to Die,7.3,"Action, Adventure, Thriller",163,2021,"$245,676,1"
280.Troy,7.3,Drama,163,2004,"$252,712,1"
281.It(I) ,7.3,Horror,135,2017,"$296,339,5"
282.Men in Black,7.3,"Action, Adventure, Comedy",98,1997,"$195,333,3"
283.Rocketman(I) ,7.3,"Biography, Drama, Music",121,2019,"$547,459,0"
284.Split(IX) ,7.3,"Horror, Thriller",117,X 2016,"$350,448,1"
285.Elvis,7.3,"Biography, Drama, Music",159,2022,"$247,290,3"
286.Alita: Battle Angel,7.3,"Action, Adventure, Sci-Fi",122,2019,"$1,405,018,0"
287.The Conjuring 2,7.3,"Horror, Mystery, Thriller",134,2016,Top Lifetime Grosses – Worldwi
288.True Lies,7.3,"Action, Comedy, Thriller",141,1994,"July 2, 20"
289.Sleepy Hollow,7.3,"Fantasy, Horror, Mystery",105,1999,"$626,137,6"
290.Cruella,7.3,"Adventure, Comedy, Crime",134,2021,"$519,311,9"
291.Black Panther,7.3,"Action, Adventure, Sci-Fi",134,2018,"$273,552,5"
292.Cape Fear,7.3,"Crime, Thriller",128,1991,"$448,191,8"
293.Face/Off,7.3,"Action, Crime, Sci-Fi",138,1997,"$188,133,3"
294.Hercules,7.3,"Animation, Adventure, Comedy",93,1997,"$928,760,7"
295.X-Men,7.3,"Action, Adventure, Sci-Fi",104,2000,"$316,360,4"
296.The Shape of Water,7.3,"Drama, Fantasy, Romance",123,2017,"$273,144,1"
297.American Sniper,7.3,"Action, Biography, Drama",133,2014,"$275,293,4"
298.Speed,7.3,"Action, Adventure, Thriller",116,1994,"$248,118,1"
299.Dumb and Dumber,7.3,Comedy,107,1994,"$312,136,6"
300.Avengers: Age of Ultron,7.3,"Action, Adventure, Sci-Fi",141,2015,"$321,885,7"
301.Fast Five,7.3,"Action, Crime, Thriller",130,2011,"$282,422,6"
302.Ant-Man,7.3,"Action, Comedy, Sci-Fi",117,2015,"$970,766,0"
303.Jerry Maguire,7.3,"Comedy, Drama, Romance",139,1996,"$250,849,7"
304.Tarzan,7.3,"Animation, Adventure, Comedy",88,1999,"$1,029,266,9"
305.The Secret Life of Walter Mitty,7.3,"Adventure, Comedy, Drama",114,2013,"$227,853,9"
306.Shrek 2,7.3,"Animation, Adventure, Comedy",93,2004,"$373,993,9"
307.Beverly Hills Cop,7.3,"Action, Comedy, Crime",105,1984,"$215,880,0"
308.Lilo & Stitch,7.3,"Animation, Adventure, Comedy",85,2002,"$536,414,2"
309.Lincoln,7.3,"Biography, Drama, History",150,2012,"$267,447,1"
310.Unbreakable,7.3,"Drama, Mystery, Sci-Fi",106,2000,"$183,442,7"
311.The Lego Batman Movie,7.3,"Animation, Action, Adventure",104,2017,"$192,330,7"
312.Megamind,7.3,"Animation, Action, Comedy",95,2010,"$507,224,6"
313.Paddington,7.3,"Adventure, Comedy, Family",95,2014,"$694,394,7"
314.Despicable Me 2,7.3,"Animation, Adventure, Comedy",98,2013,"$218,122,6"
315.Enemy of the State,7.3,"Action, Thriller",132,1998,"$396,271,1"
316.Finding Dory,7.3,"Animation, Adventure, Comedy",97,2016,"$461,991,8"
317.Lethal Weapon 2,7.3,"Action, Crime, Thriller",114,1989,"$363,889,6"
318.The Adventures of Tintin,7.3,"Animation, Action, Adventure",107,2011,"$256,786,7"
319.One Hundred and One Dalmatians,7.3,"Animation, Adventure, Comedy",79,1961,"$251,171,8"
320.The Simpsons Movie,7.3,"Animation, Adventure, Comedy",87,2007,"$353,659,8"
321.Bambi,7.3,"Animation, Adventure, Drama",69,1942,"$612,054,5"
322.Stand by Me Doraemon,7.3,"Animation, Comedy, Drama",95,2014,"$585,410,0"
323.The Equalizer,7.2,"Action, Crime, Thriller",132,2014,"$297,372,2"
